"member_id","member_name","party","party_bloc","term","wnom_1d","wnom_2d"
"9VR65006","윤영석","국민의힘","conservative",21,0.303129345178604,0.0356250442564487
"QUM8288K","이달곤","국민의힘","conservative",21,0.463195830583572,0.0635017603635788
"S9U45255","이양수","국민의힘","conservative",21,0.402890741825104,0.0939681604504585
"L5P27909","김은혜","국민의힘","conservative",21,0.775601029396057,0.446836888790131
"6EN68926","송언석","국민의힘","conservative",21,0.618657171726227,0.122813500463963
"9S151177","이탄희","더불어민주당","liberal",21,-0.640167891979218,0.0615634433925152
"FIC9046Z","김의겸","더불어민주당","liberal",21,-0.566465735435486,0.0193867404013872
"F5U2979W","김학용","국민의힘","conservative",21,0.363830089569092,0.0586907155811787
"NLR6572J","임병헌","국민의힘","conservative",21,0.247050151228905,0.0856644362211227
"VHK3402G","정우택","국민의힘","conservative",21,0.4530009329319,0.214051872491837
"6RM29022","최재형","국민의힘","conservative",21,0.611038863658905,-0.039579477161169
"MQU41854","조은희","국민의힘","conservative",21,0.46852320432663,0.0128448940813541
"JVB6983V","노용호","국민의힘","conservative",21,0.487599402666092,0.0854279696941376
"LBC8144B","김영선","국민의힘","conservative",21,0.453793585300446,0.424384862184525
"KFM1081G","장동혁","국민의힘","conservative",21,0.496705949306488,0.0361979715526104
"NUB4941Z","김한규","더불어민주당","liberal",21,-0.418187081813812,0.0361381694674492
"6RD62559","박정하","국민의힘","conservative",21,0.428997129201889,0.0922511965036392
"DWK26447","이인선","국민의힘","conservative",21,0.598159313201904,0.295858561992645
"IUD9392R","이재명","더불어민주당","liberal",21,-0.339783638715744,-0.153861731290817
"YTA7297R","최영희","국민의힘","conservative",21,0.336506426334381,0.111479140818119
"YOG1280B","안철수","국민의힘","conservative",21,0.317496180534363,0.35558956861496
"6FS10566","강성희","진보당","progressive",21,-0.793662548065186,0.325582444667816
"NCO99988","허숙정","더불어민주당","liberal",21,-0.523369133472443,-0.718869864940643
"F0I5053J","우신구","국민의힘","conservative",21,1,0
"86R9476S","김문수","더불어민주당","liberal",22,-0.500373363494873,-0.0954418107867241
"8Q88373R","김병기","무소속","independent",22,-0.479126662015915,0.135219097137451
"XSP20229","김성환","더불어민주당","liberal",22,-0.603556394577026,0.337257981300354
"88O1334C","김성회","더불어민주당","liberal",22,-0.495407938957214,0.118791110813618
"ATB59635","김승원","더불어민주당","liberal",22,-0.491785496473312,-0.178435951471329
"8O34202I","김영환","더불어민주당","liberal",22,-0.549121677875519,-0.401810884475708
"DMP1439I","김재원","조국혁신당","rebuilding",22,-0.683418095111847,0.219701662659645
"8A05621B","김준형","조국혁신당","rebuilding",22,-0.766489386558533,0.562157094478607
"NUB4941Z","김한규","더불어민주당","liberal",22,-0.49720424413681,0.102530710399151
"RUZ25800","노종면","더불어민주당","liberal",22,-0.585093080997467,-0.45454478263855
"D9I3309M","문대림","더불어민주당","liberal",22,-0.523343324661255,-0.135835036635399
"7R156073","박범계","더불어민주당","liberal",22,-0.532305181026459,-0.0573763996362686
"5TQ6306B","박수현","더불어민주당","liberal",22,-0.534159719944,0.433528125286102
"4019850M","박정","더불어민주당","liberal",22,-0.480942159891129,0.0560693554580212
"8BF5855P","박지원","더불어민주당","liberal",22,-0.495724409818649,0.108471974730492
"MDC3257K","백승아","더불어민주당","liberal",22,-0.494740903377533,0.00936292391270399
"HSS7466Y","백혜련","더불어민주당","liberal",22,-0.508489012718201,-0.0353555493056774
"GJ56729D","복기왕","더불어민주당","liberal",22,-0.5349942445755,-0.10447433590889
"6I88973D","부승찬","더불어민주당","liberal",22,-0.545684158802032,-0.179646894335747
"TKJ4800F","서영교","더불어민주당","liberal",22,-0.496849060058594,-0.139690697193146
"ZDR63255","소병훈","더불어민주당","liberal",22,-0.523097157478333,-0.170221224427223
"JSA8739I","손명수","더불어민주당","liberal",22,-0.513413608074188,0.00325558660551906
"RG972910","송재봉","더불어민주당","liberal",22,-0.522010803222656,-0.197491675615311
"M7O7878U","신정훈","더불어민주당","liberal",22,-0.480937510728836,0.172095939517021
"YOG1280B","안철수","국민의힘","conservative",22,0.621022999286652,0.462685853242874
"XEF29171","안호영","더불어민주당","liberal",22,-0.519979178905487,0.005648422986269
"XBT9550Q","우원식","무소속","independent",22,-0.492100864648819,0.118542455136776
"M0A1658U","윤호중","더불어민주당","liberal",22,-0.491412431001663,-0.00132607982959598
"I7R13867","이개호","더불어민주당","liberal",22,-0.479731857776642,-0.0355749428272247
"95J3282H","이광희","더불어민주당","liberal",22,-0.627023100852966,-0.356686621904373
"W8W95421","이상식","더불어민주당","liberal",22,-0.48536691069603,0.144669532775879
"N2P9317N","이성윤","더불어민주당","liberal",22,-0.506308734416962,-0.173078671097755
"JG77046J","이언주","더불어민주당","liberal",22,-0.487324446439743,-0.0393076352775097
"3LP22204","이재강","더불어민주당","liberal",22,-0.521392345428467,0.223842114210129
"RKS3658I","이재관","더불어민주당","liberal",22,-0.486582368612289,0.110282763838768
"QWL7778X","이준석","개혁신당","centrist",22,0.183428823947906,0.983033061027527
"2NV6751W","장철민","더불어민주당","liberal",22,-0.51659768819809,-0.0796338021755219
"9YO73104","전재수","더불어민주당","liberal",22,-0.538096904754639,0.356645077466965
"P8A4624C","전종덕","진보당","progressive",22,-0.898449063301086,0.439077824354172
"UHB5553T","정태호","더불어민주당","liberal",22,-0.483988970518112,0.130239084362984
"BCQ55105","한준호","더불어민주당","liberal",22,-0.560087263584137,-0.537371933460236
"FU53642G","허영","더불어민주당","liberal",22,-0.494434982538223,0.0886481627821922
"5MD4184K","홍기원","더불어민주당","liberal",22,-0.49548152089119,0.193817168474197
"0YT3774N","황운하","조국혁신당","rebuilding",22,-0.600789248943329,0.621264159679413
"T6A6557F","황정아","더불어민주당","liberal",22,-0.568231046199799,-0.258320271968842
"8P37634C","강득구","더불어민주당","liberal",22,-0.48675337433815,0.0440523438155651
"MNZ4401T","강선우","무소속","independent",22,-0.516951620578766,-0.168600842356682
"Q129715Y","강유정","더불어민주당","liberal",22,-0.549390017986298,0.298951476812363
"5KV96424","강준현","더불어민주당","liberal",22,-0.488144427537918,0.0850636586546898
"TRE2429O","강훈식","더불어민주당","liberal",22,-0.496251583099365,0.360085964202881
"WCD5518S","고민정","더불어민주당","liberal",22,-0.502473711967468,-0.250946402549744
"FIE6569O","곽상언","더불어민주당","liberal",22,-0.558370471000671,0.0766499787569046
"C7E79345","권칠승","더불어민주당","liberal",22,-0.491401970386505,0.283067941665649
